"model" "year" "price" "transmission" "mileage" "fuelType" "tax" "mpg" "engineSize"
"2739" " Focus" 2018 13195 "Manual" 29730 "Petrol" 145 58.9 1
"2743" " Focus" 2020 16975 "Automatic" 293 "Diesel" 145 54.3 1.5
"2744" " Fiesta" 2018 11699 "Manual" 36928 "Petrol" 150 62.8 1
"2756" " Edge" 2018 22998 "Semi-Auto" 9343 "Diesel" 145 47.9 2
"2761" " Fiesta" 2018 13990 "Manual" 14752 "Petrol" 145 65.7 1
"2763" " Fiesta" 2018 8930 "Manual" 38151 "Petrol" 145 65.7 1
"2764" " Fiesta" 2018 11491 "Manual" 15341 "Petrol" 145 65.7 1
"2766" " Focus" 2018 14591 "Manual" 37880 "Petrol" 145 60.1 1
"2772" " Focus" 2018 14581 "Manual" 15535 "Diesel" 145 80.7 1.5
"2778" " Fiesta" 2019 16280 "Manual" 7512 "Petrol" 145 55.4 1
"2779" " Focus" 2018 12600 "Manual" 35211 "Diesel" 145 74.3 1.5
"2812" " Fiesta" 2018 8997 "Manual" 24046 "Petrol" 145 65.7 1
"2813" " Fiesta" 2018 11250 "Manual" 21666 "Petrol" 145 56.5 1
"2814" " Fiesta" 2018 10770 "Manual" 31306 "Petrol" 145 56.5 1
"2824" " Fiesta" 2018 10360 "Manual" 39478 "Petrol" 145 56.5 1
"2826" " EcoSport" 2018 14750 "Manual" 7709 "Petrol" 145 54.3 1
"2828" " Focus" 2018 12090 "Automatic" 12279 "Petrol" 145 51.4 1
"2830" " Focus" 2018 14480 "Manual" 13807 "Petrol" 145 58.9 1
"2840" " Mondeo" 2018 17122 "Manual" 20877 "Diesel" 145 62.8 2
"2843" " Focus" 2019 15950 "Manual" 3333 "Diesel" 150 80.7 1.5
"2844" " Focus" 2018 12590 "Manual" 29440 "Diesel" 150 74.3 1.5
"2845" " Focus" 2018 13220 "Manual" 9812 "Petrol" 145 61.4 1
"2846" " Fiesta" 2018 10180 "Manual" 12689 "Petrol" 150 65.7 1
"2848" " Focus" 2019 16090 "Manual" 5473 "Petrol" 150 60.1 1
"2849" " Focus" 2019 15410 "Manual" 8150 "Petrol" 145 60.1 1
"2852" " Focus" 2019 16350 "Automatic" 9790 "Petrol" 145 50.4 1
"2859" " Fiesta" 2018 11000 "Manual" 16830 "Petrol" 145 56.5 1
"2860" " Fiesta" 2018 11000 "Manual" 22140 "Petrol" 145 56.5 1
"2866" " EcoSport" 2019 15450 "Manual" 5000 "Diesel" 145 58.9 1.5
"2867" " Edge" 2018 19790 "Manual" 18301 "Diesel" 145 48.7 2
"2872" " Focus" 2018 17891 "Manual" 14384 "Petrol" 145 41.5 2
"2873" " Focus" 2019 16970 "Manual" 5922 "Diesel" 145 74.3 1.5
"2874" " Focus" 2019 16780 "Manual" 3075 "Petrol" 145 58.9 1
"2877" " Fiesta" 2019 16590 "Manual" 4720 "Petrol" 145 60.1 1
"2879" " Fiesta" 2018 9420 "Manual" 18332 "Petrol" 145 64.2 1.1
"2890" " Puma" 2020 20990 "Manual" 2459 "Petrol" 150 50.4 1
"2893" " Fiesta" 2019 14730 "Manual" 7269 "Petrol" 145 60.1 1
"2894" " Focus" 2019 17520 "Manual" 2679 "Petrol" 145 60.1 1
"2900" " Fiesta" 2019 13140 "Manual" 2359 "Petrol" 145 48.7 1.1
"2901" " Focus" 2019 17350 "Manual" 2931 "Petrol" 145 60.1 1
"2905" " Focus" 2019 20391 "Automatic" 6050 "Petrol" 145 51.4 1
"2907" " Fiesta" 2018 10750 "Manual" 15502 "Petrol" 145 65.7 1
"2910" " Fiesta" 2019 13140 "Manual" 5211 "Petrol" 145 48.7 1.1
"2911" " Focus" 2019 16600 "Manual" 12500 "Diesel" 145 74.3 1.5
"2912" " Fiesta" 2019 12990 "Manual" 5744 "Petrol" 145 48.7 1.1
"2914" " Focus" 2019 19090 "Manual" 2480 "Petrol" 145 60.1 1
"2915" " Fiesta" 2019 13140 "Manual" 5011 "Petrol" 145 48.7 1.1
"2917" " Fiesta" 2019 15780 "Manual" 9803 "Petrol" 145 60.1 1
"2918" " Focus" 2019 14890 "Manual" 11867 "Petrol" 145 60.1 1
"2919" " Focus" 2019 18600 "Automatic" 10855 "Diesel" 145 74.3 1.5
"2920" " Focus" 2019 15660 "Manual" 8387 "Diesel" 145 80.7 1.5
"2921" " Focus" 2019 15530 "Manual" 16778 "Diesel" 145 74.3 1.5
"2922" " EcoSport" 2018 12980 "Semi-Auto" 12803 "Petrol" 145 48.7 1
"2925" " Focus" 2018 13600 "Manual" 13144 "Petrol" 145 58.9 1
"2928" " Focus" 2019 18000 "Manual" 14184 "Petrol" 145 45.6 1.5
"2929" " Focus" 2018 13300 "Manual" 30098 "Diesel" 145 80.7 1.5
"2930" " Fiesta" 2018 11250 "Manual" 20186 "Petrol" 145 56.5 1
"2934" " Ka+" 2018 7300 "Manual" 11534 "Petrol" 145 57.7 1.2
"2935" " Ka+" 2018 6870 "Manual" 32715 "Petrol" 145 57.7 1.2
"2936" " Ka+" 2018 7950 "Manual" 13192 "Petrol" 145 54.3 1.2
"2937" " Fiesta" 2020 17481 "Semi-Auto" 1352 "Petrol" 145 41.5 1
"2940" " Kuga" 2018 16311 "Manual" 27506 "Diesel" 145 64.2 1.5
"2941" " Focus" 2018 13698 "Manual" 12502 "Diesel" 145 74.3 1.5
"2942" " Focus" 2018 11998 "Manual" 20932 "Diesel" 145 74.3 1.5
"2947" " Fiesta" 2018 14490 "Manual" 12053 "Petrol" 145 60.1 1
"2951" " Kuga" 2018 16700 "Manual" 10261 "Diesel" 145 54.3 1.5
"2958" " Ka+" 2018 8550 "Manual" 10681 "Petrol" 145 57.7 1.2
"2959" " Ka+" 2018 8650 "Manual" 15707 "Petrol" 145 57.7 1.2
"2960" " Fiesta" 2019 11170 "Manual" 8237 "Petrol" 145 58.9 1
"2976" " Focus" 2018 14120 "Manual" 17708 "Diesel" 145 74.3 1.5
"2981" " Ka+" 2018 7600 "Manual" 15084 "Petrol" 145 57.7 1.2
"2983" " Focus" 2019 17190 "Manual" 6744 "Petrol" 145 60.1 1
"2984" " Focus" 2019 16770 "Manual" 3200 "Petrol" 145 58.9 1
"2992" " Focus" 2018 13500 "Manual" 10111 "Petrol" 145 57.7 1
"2997" " Mondeo" 2018 17365 "Automatic" 8500 "Petrol" 145 37.2 1.5
"2998" " Fiesta" 2018 12465 "Manual" 17522 "Petrol" 145 58.9 1
"3000" " Focus" 2018 13298 "Manual" 13905 "Petrol" 145 57.7 1
"3002" " Fiesta" 2019 15200 "Semi-Auto" 9791 "Petrol" 145 48.7 1
"3003" " Kuga" 2019 19700 "Manual" 1616 "Diesel" 145 38.2 2
"3005" " Fiesta" 2018 10300 "Manual" 26995 "Petrol" 145 64.2 1.1
"3008" " Fiesta" 2018 10900 "Manual" 23079 "Petrol" 145 65.7 1
"3009" " Mondeo" 2019 19800 "Manual" 22 "Diesel" 145 65.7 2
"3010" " C-MAX" 2018 14000 "Semi-Auto" 5044 "Diesel" 145 58.9 2
"3011" " Fiesta" 2019 13130 "Manual" 2871 "Petrol" 145 48.7 1.1
"3012" " Focus" 2019 17520 "Manual" 4835 "Petrol" 145 60.1 1
"3013" " Focus" 2019 17520 "Manual" 151 "Petrol" 145 60.1 1
"3014" " Kuga" 2018 16137 "Manual" 27331 "Diesel" 145 64.2 1.5
"3016" " Fiesta" 2019 16750 "Manual" 2053 "Petrol" 145 60.1 1
"3018" " Kuga" 2018 20491 "Automatic" 17152 "Petrol" 145 31 1.5
"3021" " Fiesta" 2018 10291 "Manual" 14278 "Petrol" 145 65.7 1
"3022" " Fiesta" 2018 12191 "Manual" 9610 "Petrol" 145 65.7 1
"3023" " Ka+" 2018 8500 "Manual" 4870 "Petrol" 145 54.3 1.2
"3024" " Focus" 2019 17290 "Manual" 4987 "Petrol" 145 60.1 1
"3028" " Ka+" 2018 8391 "Manual" 12456 "Petrol" 145 47.9 1.2
"3030" " Focus" 2018 12190 "Manual" 32340 "Diesel" 145 74.3 1.5
"3031" " Focus" 2018 11991 "Manual" 24174 "Diesel" 145 74.3 1.5
"3032" " EcoSport" 2018 12991 "Manual" 17123 "Petrol" 145 54.3 1
"3035" " Ka+" 2018 7991 "Manual" 7860 "Petrol" 145 57.7 1.2
"3036" " Fiesta" 2018 10191 "Manual" 12349 "Petrol" 145 65.7 1
"3037" " Kuga" 2019 18280 "Manual" 4195 "Diesel" 145 54.3 1.5
"3039" " Fiesta" 2019 13830 "Manual" 6484 "Petrol" 145 60.1 1
"3040" " Focus" 2019 17520 "Manual" 151 "Petrol" 145 60.1 1
"3042" " Focus" 2018 16460 "Manual" 19800 "Petrol" 145 41.5 2
"3045" " Fiesta" 2018 12491 "Manual" 6397 "Petrol" 145 56.5 1
"3047" " Focus" 2018 11341 "Manual" 18256 "Petrol" 145 61.4 1
"3049" " Focus" 2019 16770 "Manual" 12942 "Diesel" 145 74.3 1.5
"3051" " Focus" 2020 19995 "Manual" 403 "Petrol" 150 60.1 1
"3054" " Focus" 2018 11991 "Manual" 20595 "Diesel" 145 74.3 1.5
"3058" " Focus" 2018 15771 "Manual" 48905 "Diesel" 145 67.3 2
"3061" " Ka+" 2018 8343 "Manual" 7852 "Petrol" 145 57.7 1.2
"3065" " Ka+" 2018 8995 "Manual" 21992 "Petrol" 145 57.7 1.2
"3066" " Fiesta" 2018 11995 "Manual" 6203 "Petrol" 145 58.9 1
"3067" " Fiesta" 2018 12495 "Manual" 12135 "Petrol" 145 65.7 1
"3069" " EcoSport" 2018 13990 "Semi-Auto" 17461 "Petrol" 145 48.7 1
"3072" " Fiesta" 2019 13130 "Manual" 2400 "Petrol" 145 48.7 1.1
"3073" " Fiesta" 2019 15910 "Manual" 5752 "Petrol" 145 58.9 1
"3074" " Focus" 2019 19780 "Automatic" 9605 "Diesel" 145 74.3 1.5
"3075" " Fiesta" 2019 13130 "Manual" 2306 "Petrol" 145 48.7 1.1
"3076" " Focus" 2019 17200 "Automatic" 2952 "Petrol" 145 51.4 1
"3082" " Focus" 2019 19160 "Automatic" 3418 "Diesel" 145 54.3 1.5
"3083" " Focus" 2019 18791 "Automatic" 1704 "Petrol" 145 40.9 1.5
"3084" " Puma" 2020 20890 "Manual" 2548 "Petrol" 150 50.4 1
"3088" " Kuga" 2018 17890 "Semi-Auto" 39821 "Diesel" 145 54.3 2
"3090" " Fiesta" 2018 10890 "Manual" 22451 "Petrol" 145 56.5 1
"3091" " Fiesta" 2020 17990 "Manual" 494 "Petrol" 145 53.3 1
"3092" " Puma" 2020 21990 "Manual" 1255 "Petrol" 145 50.4 1
"3093" " Kuga" 2019 17998 "Semi-Auto" 11111 "Diesel" 145 37.2 2
"3094" " Fiesta" 2018 10798 "Manual" 15051 "Diesel" 145 55.4 1.5
"3102" " Focus" 2019 16798 "Manual" 13415 "Petrol" 150 60.1 1
"3104" " Focus" 2018 12298 "Manual" 27494 "Petrol" 150 60.1 1
"3105" " Fiesta" 2018 9998 "Manual" 12299 "Petrol" 150 55.4 1.1
"3106" " Fiesta" 2019 9998 "Manual" 20991 "Petrol" 150 55.4 1.1
"3110" " Kuga" 2019 21995 "Manual" 4010 "Petrol" 145 34.4 1.5
"3111" " Ka+" 2018 8995 "Manual" 16885 "Petrol" 145 57.7 1.2
"3113" " Ka+" 2018 8995 "Manual" 6757 "Petrol" 150 57.7 1.2
"3115" " EcoSport" 2019 15995 "Manual" 13474 "Petrol" 150 51.4 1
"3118" " Kuga" 2019 18990 "Manual" 2403 "Diesel" 145 45.6 1.5
"3119" " Kuga" 2019 17990 "Manual" 7038 "Petrol" 145 34.4 1.5
"3121" " Fiesta" 2019 16990 "Manual" 21322 "Petrol" 150 40.3 1.5
"3127" " Focus" 2019 18990 "Manual" 8197 "Petrol" 145 49.6 1
"3135" " Focus" 2018 17500 "Manual" 17280 "Diesel" 145 67.3 2
"3138" " Kuga" 2018 14490 "Manual" 54793 "Diesel" 145 54.3 2
"3145" " EcoSport" 2018 12995 "Manual" 13851 "Petrol" 150 54.3 1
"3147" " Focus" 2019 19995 "Manual" 1600 "Petrol" 150 49.6 1
"3150" " Fiesta" 2019 10498 "Manual" 20636 "Petrol" 150 55.4 1.1
"3154" " Fiesta" 2018 11498 "Manual" 37001 "Petrol" 150 58.9 1
"3155" " Focus" 2018 19998 "Manual" 16882 "Petrol" 145 41.5 2
"3159" " Focus" 2019 17480 "Manual" 4213 "Petrol" 145 60.1 1
"3160" " Focus" 2019 17480 "Manual" 4286 "Petrol" 145 60.1 1
"3162" " Focus" 2019 14642 "Manual" 4442 "Petrol" 145 58.9 1
"3168" " Fiesta" 2018 12495 "Manual" 10561 "Petrol" 150 56.5 1
"3177" " Focus" 2018 12000 "Manual" 11457 "Petrol" 145 60.1 1
"3180" " Focus" 2019 16991 "Manual" 8735 "Petrol" 145 60.1 1
"3181" " Kuga" 2019 18291 "Manual" 6831 "Diesel" 145 54.3 1.5
"3183" " Focus" 2019 15791 "Manual" 12624 "Petrol" 145 58.9 1
"3184" " Focus" 2019 16481 "Manual" 11407 "Diesel" 145 80.7 1.5
"3185" " Focus" 2018 10491 "Manual" 30370 "Petrol" 145 58.9 1
"3188" " Fiesta" 2019 13130 "Manual" 151 "Petrol" 145 48.7 1.1
"3189" " Fiesta" 2019 12490 "Manual" 960 "Petrol" 145 48.7 1.1
"3190" " Fiesta" 2019 13130 "Manual" 151 "Petrol" 145 48.7 1.1
"3191" " Focus" 2018 18991 "Manual" 20147 "Petrol" 145 41.5 2
"3192" " Grand Tourneo Connect" 2019 16930 "Manual" 15297 "Diesel" 145 61.4 1.5
"3196" " Fiesta" 2018 11291 "Manual" 25993 "Petrol" 145 62.8 1
"3197" " Fiesta" 2018 9491 "Manual" 21098 "Petrol" 145 65.7 1
"3198" " Fiesta" 2019 16400 "Manual" 4001 "Petrol" 145 60.1 1
"3199" " Fiesta" 2019 15410 "Manual" 1710 "Petrol" 145 60.1 1
"3200" " Focus" 2018 13561 "Manual" 15071 "Petrol" 145 57.7 1
"3201" " Fiesta" 2018 13191 "Manual" 11805 "Petrol" 145 62.8 1
"3202" " Ka+" 2019 9990 "Manual" 3285 "Petrol" 145 47.9 1.2
"3203" " Ka+" 2019 9990 "Manual" 1953 "Petrol" 145 47.9 1.2
"3206" " Focus" 2018 10700 "Manual" 23738 "Petrol" 145 60.1 1
"3207" " Focus" 2019 17280 "Manual" 7088 "Petrol" 145 60.1 1
"3208" " Focus" 2019 18490 "Manual" 11056 "Petrol" 145 58.9 1
"3209" " Focus" 2019 18391 "Manual" 8636 "Petrol" 145 58.9 1
"3210" " Focus" 2019 15340 "Manual" 7602 "Petrol" 145 60.1 1
"3211" " Focus" 2019 15320 "Manual" 9010 "Petrol" 145 60.1 1
"3212" " Fiesta" 2018 10191 "Manual" 11462 "Petrol" 145 65.7 1
"3213" " Kuga" 2019 18390 "Automatic" 23796 "Diesel" 145 47.9 2
"3214" " Kuga" 2019 19800 "Manual" 8089 "Diesel" 145 47.9 2
"3215" " Focus" 2019 15510 "Manual" 4198 "Petrol" 145 60.1 1
"3216" " Mondeo" 2019 23590 "Automatic" 6378 "Diesel" 145 49.6 2
"3217" " Focus" 2018 11860 "Manual" 23769 "Diesel" 145 74.3 1.5
"3218" " Focus" 2018 19427 "Manual" 21863 "Petrol" 145 41.5 2
"3219" " Fiesta" 2018 11200 "Manual" 11741 "Petrol" 145 65.7 1
"3220" " Ka+" 2018 7600 "Manual" 10693 "Petrol" 145 57.7 1.2
"3221" " Fiesta" 2018 11260 "Manual" 7891 "Petrol" 145 65.7 1
"3222" " Kuga" 2018 17200 "Manual" 16786 "Diesel" 145 60.1 2
"3224" " Fiesta" 2018 13191 "Semi-Auto" 6072 "Petrol" 145 48.7 1
"3225" " Grand C-MAX" 2019 16750 "Manual" 15097 "Diesel" 145 56.5 1.5
"3226" " EcoSport" 2019 15240 "Manual" 8601 "Petrol" 145 53.3 1
"3227" " Fiesta" 2018 12927 "Manual" 5829 "Petrol" 145 58.9 1
"3228" " Fiesta" 2019 12490 "Manual" 3327 "Petrol" 145 48.7 1.1
"3231" " Fiesta" 2018 10991 "Manual" 5699 "Petrol" 145 58.9 1
"3232" " Focus" 2018 18050 "Manual" 22727 "Petrol" 145 41.5 2
"3233" " Focus" 2019 15860 "Manual" 10916 "Diesel" 145 74.3 1.5
"3234" " Kuga" 2019 21770 "Manual" 14782 "Diesel" 145 47.9 2
"3235" " Focus" 2019 15460 "Manual" 7170 "Petrol" 145 60.1 1
"3236" " Focus" 2019 15300 "Manual" 6541 "Petrol" 145 60.1 1
"3237" " Fiesta" 2019 12790 "Manual" 10147 "Petrol" 145 58.9 1
"3238" " Fiesta" 2019 13200 "Manual" 6995 "Petrol" 145 58.9 1
"3239" " Fiesta" 2019 14140 "Automatic" 4471 "Petrol" 145 48.7 1
"3244" " Focus" 2018 11680 "Manual" 12500 "Petrol" 150 60.1 1
"3245" " Focus" 2018 12000 "Manual" 11300 "Petrol" 150 60.1 1
"3248" " EcoSport" 2018 12847 "Manual" 12467 "Petrol" 145 54.3 1
"3250" " Fiesta" 2019 13060 "Manual" 2016 "Petrol" 145 48.7 1.1
"3252" " Fiesta" 2019 15370 "Manual" 5001 "Petrol" 145 60.1 1
"3253" " Ka+" 2019 9990 "Manual" 1581 "Petrol" 145 47.9 1.2
"3254" " Focus" 2018 19900 "Manual" 9196 "Petrol" 145 41.5 2
"3258" " EcoSport" 2018 13091 "Manual" 8169 "Petrol" 145 53.3 1
"3259" " Focus" 2019 17480 "Manual" 1350 "Petrol" 145 60.1 1
"3260" " Fiesta" 2019 12490 "Manual" 2623 "Petrol" 145 48.7 1.1
"3261" " Focus" 2019 17330 "Manual" 3523 "Petrol" 145 60.1 1
"3262" " Focus" 2019 17480 "Manual" 8469 "Petrol" 145 60.1 1
"3263" " Fiesta" 2019 12490 "Manual" 2583 "Petrol" 145 48.7 1.1
"3264" " Focus" 2019 17280 "Manual" 5001 "Petrol" 145 60.1 1
"3265" " Focus" 2019 17480 "Manual" 3284 "Petrol" 145 60.1 1
"3268" " EcoSport" 2019 15740 "Manual" 5824 "Petrol" 145 51.4 1
"3269" " Focus" 2018 10990 "Manual" 15302 "Petrol" 150 60.1 1
"3272" " Fiesta" 2018 10731 "Manual" 4026 "Petrol" 145 65.7 1
"3273" " Fiesta" 2019 14177 "Manual" 8043 "Petrol" 145 58.9 1
"3274" " Fiesta" 2019 14467 "Manual" 4126 "Petrol" 145 58.9 1
"3275" " EcoSport" 2019 14791 "Manual" 7716 "Petrol" 145 54.3 1
"3276" " Fiesta" 2019 13130 "Manual" 151 "Petrol" 145 48.7 1.1
"3278" " Focus" 2018 15498 "Manual" 35090 "Diesel" 145 67.3 2
"3291" " Kuga" 2019 19498 "Manual" 9341 "Petrol" 145 39.2 1.5
"3296" " Kuga" 2018 16498 "Manual" 15645 "Diesel" 145 64.2 1.5
"3299" " Focus" 2019 15530 "Manual" 6857 "Petrol" 145 60.1 1
"3300" " Ka+" 2018 6991 "Manual" 21105 "Petrol" 145 57.7 1.2
"3305" " Focus" 2019 15690 "Manual" 12998 "Petrol" 145 60.1 1
"3308" " Focus" 2019 18500 "Automatic" 3600 "Petrol" 145 42.8 1
"3311" " Fiesta" 2019 10298 "Manual" 14422 "Petrol" 145 55.4 1.1
"3318" " Fiesta" 2018 9730 "Manual" 7305 "Petrol" 145 65.7 1
"3319" " Puma" 2020 20491 "Manual" 4998 "Petrol" 145 50.4 1
"3322" " Focus" 2019 15290 "Manual" 8811 "Petrol" 145 60.1 1
"3324" " Focus" 2020 19991 "Automatic" 4998 "Petrol" 145 51.4 1
"3325" " Fiesta" 2018 8691 "Manual" 34064 "Petrol" 145 64.2 1.1
"3327" " Focus" 2018 19490 "Manual" 9196 "Diesel" 145 67.3 2
"3329" " Galaxy" 2019 26360 "Manual" 2725 "Diesel" 145 55.4 2
"3330" " Fiesta" 2019 14400 "Manual" 3398 "Petrol" 145 58.9 1
"3331" " Focus" 2019 18991 "Automatic" 2986 "Petrol" 145 51.4 1
"3334" " Fiesta" 2019 13140 "Manual" 6987 "Petrol" 145 48.7 1.1
"3336" " Focus" 2019 17210 "Manual" 6351 "Petrol" 145 60.1 1
"3337" " Focus" 2018 17391 "Manual" 11977 "Petrol" 145 41.5 2
"3339" " Fiesta" 2018 9990 "Manual" 33116 "Petrol" 150 65.7 1
"3342" " Fiesta" 2018 8995 "Manual" 17870 "Petrol" 145 64.2 1.1
"3343" " Fiesta" 2018 11389 "Manual" 9343 "Petrol" 145 65.7 1
"3344" " Focus" 2019 17140 "Manual" 7987 "Petrol" 145 60.1 1
"3345" " Focus" 2019 17000 "Manual" 10998 "Petrol" 145 60.1 1
"3346" " Focus" 2019 17290 "Manual" 4989 "Petrol" 145 60.1 1
"3350" " Focus" 2018 18891 "Manual" 12000 "Petrol" 145 41.5 2
"3363" " Fiesta" 2018 10750 "Manual" 31000 "Diesel" 150 88.3 1.5
"3364" " Fiesta" 2018 10000 "Manual" 25062 "Petrol" 145 65.7 1
"3366" " Focus" 2018 16491 "Manual" 13631 "Petrol" 145 60.1 1
"3367" " Kuga" 2019 19787 "Manual" 2770 "Petrol" 145 39.2 1.5
"3369" " Fiesta" 2018 9591 "Manual" 18847 "Petrol" 150 65.7 1
"3371" " Fiesta" 2018 10291 "Manual" 9250 "Petrol" 150 65.7 1
"3375" " Focus" 2019 15700 "Manual" 7989 "Petrol" 145 60.1 1
"3380" " Fiesta" 2018 8991 "Manual" 15560 "Petrol" 150 64.2 1.1
"3389" " Fiesta" 2018 11540 "Manual" 12052 "Petrol" 145 65.7 1
"3391" " Fiesta" 2018 11180 "Manual" 18885 "Petrol" 150 62.8 1
"3392" " Kuga" 2018 16010 "Manual" 9660 "Petrol" 150 39.2 1.5
"3395" " Fiesta" 2018 10040 "Manual" 9863 "Petrol" 145 65.7 1
"3400" " Fiesta" 2018 11640 "Manual" 7205 "Petrol" 150 65.7 1
"3402" " EcoSport" 2018 13990 "Manual" 11699 "Petrol" 150 54.3 1
"3403" " EcoSport" 2019 17480 "Semi-Auto" 5964 "Petrol" 150 44.1 1
"3404" " Fiesta" 2018 10300 "Manual" 27929 "Petrol" 150 65.7 1
"3406" " Fiesta" 2018 15890 "Manual" 7974 "Petrol" 150 40.3 1.5
"3411" " Fiesta" 2018 10771 "Manual" 20441 "Petrol" 145 65.7 1
"3412" " Ka+" 2018 8220 "Manual" 13709 "Petrol" 145 54.3 1.2
"3413" " Edge" 2018 23740 "Automatic" 13712 "Diesel" 145 47.9 2
"3417" " Fiesta" 2018 10491 "Manual" 14598 "Petrol" 145 58.9 1
"3419" " Kuga" 2019 21490 "Semi-Auto" 7561 "Diesel" 145 37.2 2
"3420" " Fiesta" 2019 12990 "Manual" 4002 "Petrol" 145 58.9 1
"3422" " Fiesta" 2018 10991 "Manual" 9343 "Petrol" 145 65.7 1
"3423" " Kuga" 2019 22620 "Automatic" 11981 "Diesel" 145 38.7 2
"3424" " Focus" 2019 17490 "Manual" 6845 "Petrol" 145 46.3 1.5
"3426" " Focus" 2018 9980 "Manual" 51198 "Diesel" 145 74.3 1.5
"3438" " Focus" 2018 15795 "Automatic" 5268 "Diesel" 145 67.3 1.5
"3440" " Kuga" 2018 17520 "Manual" 6466 "Petrol" 145 45.6 1.5
"3441" " Fiesta" 2019 13140 "Manual" 5 "Petrol" 145 48.7 1.1
"3444" " Focus" 2018 15991 "Manual" 13448 "Petrol" 145 51.4 1.5
"3446" " Focus" 2019 17520 "Manual" 100 "Petrol" 145 60.1 1
"3447" " Fiesta" 2019 16950 "Manual" 11000 "Petrol" 145 55.4 1
"3448" " Fiesta" 2019 16950 "Manual" 100 "Petrol" 145 55.4 1
"3455" " Ka+" 2018 7951 "Manual" 22013 "Petrol" 145 57.7 1.2
"3456" " Ka+" 2018 8321 "Manual" 17980 "Petrol" 145 54.3 1.2
"3459" " Ka+" 2018 6690 "Manual" 34545 "Petrol" 145 57.7 1.2
"3462" " Ka+" 2018 8710 "Manual" 8714 "Petrol" 145 54.3 1.2
"3468" " Focus" 2019 17520 "Manual" 100 "Petrol" 145 60.1 1
"3469" " Focus" 2019 17520 "Manual" 150 "Petrol" 145 60.1 1
"3474" " Fiesta" 2019 13140 "Manual" 4052 "Petrol" 145 60.1 1
"3475" " Fiesta" 2019 13220 "Manual" 6000 "Petrol" 145 56.5 1
"3476" " Fiesta" 2019 14070 "Manual" 44 "Petrol" 145 58.9 1
"3482" " Fiesta" 2018 12795 "Manual" 12501 "Petrol" 145 58.9 1
"3483" " B-MAX" 2018 7991 "Manual" 48631 "Diesel" 150 47.1 1.4
"3484" " Ka+" 2019 8991 "Manual" 14286 "Petrol" 150 47.9 1.2
"3487" " Ka+" 2018 8037 "Manual" 4101 "Petrol" 145 57.7 1.2
"3488" " Focus" 2018 11091 "Manual" 20745 "Petrol" 145 60.1 1
"3489" " Kuga" 2018 16987 "Manual" 15925 "Petrol" 145 45.6 1.5
"3490" " Fiesta" 2018 11460 "Manual" 17076 "Petrol" 145 65.7 1
"3491" " Ka+" 2018 8030 "Manual" 12309 "Petrol" 145 54.3 1.2
"3492" " Fiesta" 2018 13340 "Manual" 18433 "Petrol" 145 62.8 1
"3493" " Kuga" 2019 19800 "Manual" 11000 "Diesel" 145 47.9 2
"3495" " Focus" 2019 15310 "Manual" 5308 "Petrol" 145 60.1 1
"3497" " Mustang" 2018 33000 "Semi-Auto" 5064 "Petrol" 145 23.5 5
"3499" " Focus" 2018 12241 "Manual" 10627 "Petrol" 145 61.4 1
"3503" " Fiesta" 2018 11967 "Manual" 7076 "Petrol" 145 58.9 1
"3506" " Fiesta" 2019 11940 "Manual" 9985 "Petrol" 145 58.9 1
"3507" " Focus" 2018 18497 "Manual" 13933 "Petrol" 145 41.5 2
"3518" " Focus" 2019 16998 "Manual" 18040 "Petrol" 145 60.1 1
"3522" " Fiesta" 2018 9998 "Manual" 12280 "Petrol" 145 55.4 1.1
"3525" " Fiesta" 2018 9998 "Manual" 16567 "Petrol" 145 55.4 1.1
"3528" " Focus" 2019 14898 "Manual" 10868 "Petrol" 145 58.9 1
"3532" " Focus" 2019 16990 "Manual" 8668 "Petrol" 150 60.1 1
"3535" " Kuga" 2018 18999 "Semi-Auto" 18000 "Diesel" 150 58.9 1.5
"3538" " Kuga" 2019 11698 "Semi-Auto" 53825 "Diesel" 145 42.2 2
"3539" " S-MAX" 2018 15998 "Manual" 32077 "Diesel" 145 56.5 2
"3540" " Kuga" 2018 16498 "Manual" 14779 "Petrol" 145 45.6 1.5
"3541" " Focus" 2019 18398 "Automatic" 5949 "Diesel" 145 74.3 1.5
"3547" " Galaxy" 2018 18999 "Semi-Auto" 42164 "Diesel" 145 52.3 2
"3548" " Tourneo Custom" 2019 18990 "Manual" 21529 "Diesel" 145 32.5 2
"3549" " Focus" 2018 13999 "Semi-Auto" 3407 "Petrol" 145 51.4 1
"3550" " C-MAX" 2018 14490 "Manual" 15317 "Petrol" 145 55.4 1
"3551" " Focus" 2019 16999 "Manual" 10000 "Petrol" 145 60.1 1
"3554" " Kuga" 2019 18450 "Manual" 3781 "Petrol" 145 39.2 1.5
"3555" " Fiesta" 2018 11490 "Manual" 18485 "Petrol" 145 65.7 1
"3556" " Fiesta" 2018 10999 "Manual" 24608 "Petrol" 145 65.7 1
"3560" " Edge" 2019 31499 "Semi-Auto" 10300 "Diesel" 145 37.2 2
"3567" " Fiesta" 2018 10990 "Manual" 3331 "Petrol" 145 65.7 1
"3569" " EcoSport" 2019 16999 "Semi-Auto" 11538 "Petrol" 150 45.6 1
"3574" " EcoSport" 2018 10990 "Manual" 12743 "Petrol" 145 52.3 1
"3575" " Fiesta" 2018 10990 "Manual" 33500 "Petrol" 145 65.7 1
